title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,"유폰를 오래 사용하고 있는데, 짧은 통화라도 매일 영어를 말하게 돼서 공부가 생활 습관처럼 자리 잡았어요. 부담 없이 꾸준히 할 수 있어서 실력 유지에도 큰 도움이 되고, 바쁜 날에도 영어를 놓치지 않게 해줘서 만족합니다.",5,KoSa,2026-01-08 13:03:44,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,모바일로 쉽게 전화영어 할 수있어서 좋아요.커리 큘럼도다양하고 강사분들도 각자스타일이 있어서 여러선생님 다양하게 경험할 수있어서 좋습니다. 피드백도 좋아요!,5,복덩이,2025-12-16 19:34:55,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,로그인을 하려고 해도 에러떠서 안됨. 수강 해지 과정은 하늘의 별따기,1,Jean k,2025-12-14 15:12:33,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,"유폰을 시작할 때만 해도 말문이 막혀 늘 아쉬웠는데, 1년 반 정도 꾸준히 하다 보니 어느 순간 영어가 늘었어요. 토익스피킹도 목표점수인 AM을 받았습니다. 실수해도 편하게 받아주시던 선생님들께 감사합니다^^",5,류수정,2025-11-30 22:29:24,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,지금 거의 6. 7년째 하고 있는데 매주 두 번 하더라도 실력이 계속 유지되는 느낌이라 좋습니다. 교재도 튼튼해지고 강사 수준도 계속 발전하는 것 같습니다. 앞으로도 계속 함께하고 싶네요,5,새벽빛nim,2025-11-11 11:30:40,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,선생님마다 다르지만 거의 학생수준에 맞춰주려고 하십니다. 적절히 교재외의 질문도 해주시고 소통되는 선생님도 있구요. 외국어로 말하는거라 첫강의땐 생각보다 10분이 길다고 생각했어요! 교재가 대화소재라 도움됩니다!,4,러블리릴리,2025-11-07 10:27:04,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,진짜 훌륭합니다. 이 수업을 하면서 느낀점은 필리핀 선생님들이 하나같이 전부 친절합니다. 선생님들이 격려와 칭찬을 잘 해주셔서 피드백을 통해 실력을 향상시킬수 있습니다. 교재없이 프리토킹도 가능한 게 장점입니다.,5,sseefe ppee,2025-11-03 22:03:31,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,"영어공부하기 게을러질때도, 선생님께서 매일 일정한 시간에 전화를 주시니 아무리 바빠도 하게 되네요. 그렇게 쌓이고 쌓이다 보니 확실히 말하는게 익숙해지고 아무것도 하지않는것보다는 하고 있음에 발전함을 느낍니다.",5,김자매tv,2025-10-21 10:21:39,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,"제발 가로모드!!! 갤럭시탭 울트라사용중이라 화면이 엄청큰데,, 그걸 세로로 큰글씨로 보고있자니 힘듭니다. 가로모드 좀 빠른시일내에 지원해주세요 ㅠ 가로모드 반영 안하실꺼면, 웹사이트로 예복습할수있게라도 열어주세요",2,김희지,2025-10-18 16:29:33,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,즉각적인 피드백과 더 향상된 표현을 바로 알 수 있어서 좋습니다. 심도있는 컨텐츠의 제공으로 공부할 수 있어서 좋아요!,5,young Na,2025-10-14 18:31:19,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,스팸 광고좀 작작 뿌려라 인간들아. 상도덕이 없는 수준이네,1,zhenxie Song,2025-09-29 19:53:56,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
,80프로의 강사진들은 괜찮습니다. 한 번씩 연결이 안되거나 주변 소음이 심한 강사님들 연결되면 짜증나요. 한달에 19만원 내면서 하루 20분씩 회화에 투자하니 자신감이 늡니다. 커리큘럼은 만족스러우나 강사 품질 관리가 더 되면 좋겠어요. 더 비싸져도 좋으니깐요.,5,황혜인,2025-09-21 16:03:49,https://play.google.com/store/apps/details?id=com.bcm.uphone3.android,carrot,review,playstore,민병철유폰,2026-01-18T14:34:44.833736
